Q,nflux,nflux_err,time,time_corr
16.0,1.0074570179,0.000259298802121,1535.72689043,-0.00139369326644
16.0,1.00774145126,0.000259339576587,1535.74732468,-0.00139313947875
16.0,1.00753593445,0.000259321444901,1535.76775883,-0.00139258534182
16.0,1.00709533691,0.000259283784544,1535.78819289,-0.00139203097206
16.0,1.00759553909,0.000259374181041,1535.80862714,-0.00139147636946
16.0,1.00769269466,0.00025935046142,1535.8290613,-0.00139092141762
16.0,1.00786542892,0.000259366701357,1535.84949555,-0.00139036623295
16.0,1.00783491135,0.000259379827185,1535.86992961,-0.00138981081545
16.0,1.00763869286,0.000259363849182,1535.89036376,-0.00138925504871
16.0,1.00721299648,0.000259292399278,1535.91079802,-0.00138869904913
16.0,1.00715172291,0.000259293941781,1535.93123208,-0.00138814281672
16.0,1.00712692738,0.000259320368059,1535.95166623,-0.00138758623507
16.0,1.00712144375,0.00025932045537,1535.97210039,-0.001387029537
16.0,1.00796914101,0.000259352847934,1535.99253455,-0.00138647237327
16.0,1.00727450848,0.00025928762625,1536.0129687,-0.00138591509312
16.0,1.00740230083,0.000259296386503,1536.03340286,-0.00138535746373
16.0,1.00758957863,0.000259302702034,1536.05383702,-0.00138479960151
16.0,1.00740551949,0.000259291671682,1536.07427128,-0.00138424150646
16.0,1.00715100765,0.000259241991444,1536.09470534,-0.00138368306216
16.0,1.00745785236,0.000259303458733,1536.1151395,-0.00138312438503
16.0,1.00708603859,0.000259301712504,1536.13557375,-0.00138256547507
16.0,1.00723421574,0.000259296357399,1536.15600791,-0.00138200621586
16.0,1.00723528862,0.0002592735691,1536.17644197,-0.00138144684024
16.0,1.00725603104,0.000259263033513,1536.19687623,-0.00138088699896
16.0,1.00729370117,0.000259258027654,1536.21731039,-0.00138032704126
16.0,1.00768697262,0.000259336840827,1536.23774465,-0.00137976673432
16.0,1.00722455978,0.000259290798567,1536.25817871,-0.00137920619454
16.0,1.00791227818,0.000259316962911,1536.27861287,-0.00137864542194
16.0,1.00753057003,0.000259315624135,1536.29904714,-0.00137808430009
16.0,1.00687623024,0.000259239284787,1536.3194812,-0.0013775229454
16.0,1.00746929646,0.000259281339822,1536.33991536,-0.00137696135789
16.0,1.00744903088,0.000259259599261,1536.36034962,-0.00137639942113
16.0,1.00733578205,0.000259262742475,1536.38078368,-0.00137583736796
16.0,1.00742352009,0.000259233231191,1536.40121785,-0.00137527496554
16.0,1.00715863705,0.000259229826042,1536.42165211,-0.00137471221387
16.0,1.0074378252,0.000259268679656,1536.44208617,-0.00137414922938
16.0,1.00686943531,0.000259222753812,1536.46252043,-0.00137358601205
16.0,1.00756883621,0.000259279768215,1536.4829546,-0.00137302256189
16.0,1.00715923309,0.000259246357018,1536.50338866,-0.0013724588789
16.0,1.00693106651,0.000259193329839,1536.52382293,-0.00137189484667
16.0,1.00735664368,0.000259238819126,1536.54425709,-0.00137133058161
16.0,1.00780296326,0.000259287713561,1536.56469115,-0.00137076596729
16.0,1.00750863552,0.000259265041677,1536.58512542,-0.00137020123657
16.0,1.00769162178,0.000259246997302,1536.60555958,-0.0013696361566
16.0,1.0072234869,0.000259183783783,1536.62599375,-0.00136907072738
16.0,1.00780391693,0.000259268126683,1536.64642791,-0.00136850518174
16.0,1.00790262222,0.000259251857642,1536.66686208,-0.00136793928687
16.0,1.007802248,0.000259251595708,1536.68729625,-0.00136737315916
16.0,1.0075968504,0.000259248248767,1536.70773041,-0.0013668066822
16.0,1.00735485554,0.000259223161265,1536.72816458,-0.00136624008883
16.0,1.00739955902,0.000259165506577,1536.74859875,-0.00136567314621
16.0,1.00764763355,0.000259267108049,1536.76903291,-0.00136510585435
16.0,1.00731015205,0.000259162130533,1536.78946708,-0.00136453844607
16.0,1.00782251358,0.000259232561802,1536.80990135,-0.00136397068854
16.0,1.00718438625,0.000259203690803,1536.83033542,-0.00136340269819
16.0,1.00732076168,0.000259224820184,1536.85076969,-0.001362834475
16.0,1.00668728352,0.000259165040916,1536.87120385,-0.00136226590257
